"text","class_label"
" malam gempa saja","saksi_mata"
" gempa gunungkidul","saksi_mata"
" infone gempa barusan min","saksi_mata"
" ku gerak tronton gempa","saksi_mata"
"kaget sangat gempa","saksi_mata"
"gempa wehkerasa sangat padahal lantai","saksi_mata"
" mau mandi dulu tlong jangan gempa lagi ya takut kalau gempany asa smpen","saksi_mata"
"barusan gempa rangorang tidak rasa bangunin senen","saksi_mata"
"oh barusan gempaaaa wkwkwkwkwkwk mengira sumpah pintu itu bunyi terus memperlihatkan saja sih mikir anjing setan ini gempa","saksi_mata"
"heh kaget mengira halu memang gempa wkwk","saksi_mata"
"merasa gempa tidak sih sepersekian detik doang","saksi_mata"
"jogja gempa astagfirullah","saksi_mata"
" jogja gempa bentar doang sih rasa sangat goyang","saksi_mata"
"benaran yang rasa gempa","saksi_mata"
" jam an juga gempa kali selang jam","saksi_mata"
" kucing sek memang questionable sih soalnya cepat sangat pikir lelah sampai adekku bilang eh gempa tidak sih ya sudah ngelindur","saksi_mata"
" jogja asa gempa detik an deh","saksi_mata"
"kukira cicak kawin geternya sampai kasur gempa","saksi_mata"
" bangun rasa gempa barusan","saksi_mata"
" ya gempa asem tidak ada percaya","saksi_mata"
"kaget sangat kasur goyang begitu detik terus mikir gempa po ya tanyakan rumah tidak yang rasa bilang halu warna twitter haluuu hahhaaha","saksi_mata"
"eh jogja gempa","saksi_mata"
"info gempa barusan sleman","saksi_mata"
"ya allah takut tidur takut gempa susul lantai ajg","saksi_mata"
" ku rasa gempa ini","saksi_mata"
" iya barusan gempa asa sleman","saksi_mata"
"gempa nya pas sangat aku merem kaget ggsgdhhs","saksi_mata"
" astagfirullah pantesan seperti goyang badan aku jogja gempa","saksi_mata"
"aku aku otw mati gara gara banyak minum kopi memang gempa","saksi_mata"
"kaca jendela getar tanda barusan gempa","saksi_mata"
"oalah gempa wksksowkksks ndredeg terus gemeter","saksi_mata"
"jogja barusan gempa kah beberapa menit barusan sumpa","saksi_mata"
"auto tidak tidur rasa gempa","saksi_mata"
" tahun jogja kali loncat kasur gempa kaget sangat eaea","saksi_mata"
"benaran gempa tapi mengira vertigo kumat wkwk","saksi_mata"
" kali yang aku laku gempa itu lari kandang anjing aku cari lindung","saksi_mata"
"aku gemparin kosan lantai karena gempa","saksi_mata"
" demiallah ndregdeg begitu detik aku ais tidur nendang kasur aku diam saja cok search saja jogja gempa yang merasa","saksi_mata"
"gempa ya barusan","saksi_mata"
"pantat goyang ya oh gempa","saksi_mata"
" mengira aku halu memang gempa","saksi_mata"
"ku pikir efek laper benaran gempa jogja tidak panik hebat sekalehh","saksi_mata"
"lagi baca webtoon sender tiba gempa aku karena darah rendah","saksi_mata"
" gempa","saksi_mata"
" lah benaran gempa","saksi_mata"
"gempa langsung ngibrit gendong cito","saksi_mata"
"gempa teman","saksi_mata"
"","saksi_mata"
" merem kaget gempa","saksi_mata"
"gempa dikit teman rasa sampai jogja huhuhu","saksi_mata"
" kamar merasai gempa itu takut sampai badan kaku asli","saksi_mata"
"gempa tidak sih barusan halu kasur ku lumayan goyang sih bentar","saksi_mata"
"gempa lumayan kencang batal tidur antisipasi gempa susul","saksi_mata"
"weee gempa cuy kaget","saksi_mata"
"aku aku yang oleng trnyta memang gempa","saksi_mata"
" pikir sono kucing po tikus mlayu ng duwur gendeng tapi boleh geter tekan kasur jebul tenan gempa titik gempane ng ndi ya","saksi_mata"
"gempa seperti suara kucing lompat genteng adek gempa sudah merasa yang gerak diam kamar yang lumayan kencang suara panik langsung bersama adek pas sudah rumah yang tidak ada bangun rasa gempa","saksi_mata"
"benaran gempa jadi sebelum gempa sudah rasa seperti sudah mikir seperti bentar lagi gempa deh seperti beda begitu hawa tahu tidak siii terus benaran goyang smiling face efbf smiling face efbf smiling face efbf untung tidak kencang tidak","saksi_mata"
" saja mau tidur eeh gempa","saksi_mata"
"gempa nya sampai kebumen","saksi_mata"
"anying ini gempa pusat deh dengan sangat","saksi_mata"
"first time aku rasa gempa cuy","saksi_mata"
"anjritt ini gempa teman aing tetap tidur pulas","saksi_mata"
" njelei nek gempa sek kroso muk tokdipaido sak omah","saksi_mata"
"sudah curiga memang gempa ini kasur aku goyangcb aku diam saja","saksi_mata"
" gempa merasai","saksi_mata"
"baca buku musican kencang tbtb gempa dengar suara nya","saksi_mata"
" sepersekian detik gempa nya cepat","saksi_mata"
" jogja tidur seperti asa goyang sih tapi tidak tahu tadi benaran gempa halusinasi menunggu twt bmkg kalau yang halu","saksi_mata"
"tbtb merasai kasur geter gempa ringan atau kasur aku joget ya","saksi_mata"
"jogja gempa aku tidak merasai","saksi_mata"
"gempa ya jogja kasur nya gerakgerak","saksi_mata"
"anjay jogja goyang gempa","saksi_mata"
" gempa teman jogja","saksi_mata"
" gempa barusan kali","saksi_mata"
" asa goyang gempa bentar lumayan lantai","saksi_mata"
"anjing benaran gempa","saksi_mata"
"mengira efek pusing layang badan aneh tyt memang gempa","saksi_mata"
"barusan jogja gempa rinding benaran geter","saksi_mata"
" barusan gempa min demang rasa","saksi_mata"
"cuy gempa nya rasa","saksi_mata"
" literally ajar ngantuk benar tbtb kaget gempa oke tidak ngantuk","saksi_mata"
"h halu benaran gempa","saksi_mata"
