"teks","class_label"
"malam efek gempagak rumah saja yang terguncangtapi badan otak aku guncang ngerasa getar mulu rumah pikir sudah mana ajaaa siang gempa lgi","saksi_mata"
"astagfirullah beneran gempa kirain aku y yang parno gegara semalem","saksi_mata"
"tapi pas tidur itu seperti kepala muter terus seperti yang ngegerakin kasur ngerti tidak seperti gempa begitu lo","saksi_mata"
"td malem gempa gempa tidak sih merem","saksi_mata"
"mati lampu bentar ngerasain seperti gempa geter gotu banget lihat twt yang gempa jabar","saksi_mata"
"ini gempa asa saja begimana","saksi_mata"
"rantau yang gempa ini ingin pulang jam sudah kali lapor goyang jantung sudah sampai tenggorok mamaaakkk","saksi_mata"
"yoi gempa susul njir keep calm saja hati tetap panik cuy gemeter dengkul gw","saksi_mata"
"malam nyenyak tidur akibat gempa huaaa trauma banget tbtb jam dapat sms alert gempa sr sampai detik saja gempa susul tbtb ngeri tinggal daerah rawan gempa","saksi_mata"
"sudah gempa susul","saksi_mata"
"ya ampun kali ngerasain gempa keras getaranya takut tangis wkwk","saksi_mata"
"itu gempa besar banget taxi ya tidak asa pas mandi gempa keliyengan nya sampai","saksi_mata"
"gempa besar banget takut pasrah saja lantai lari tidak buru alhamdulillah aman Cuma gelas pecah atu","saksi_mata"
"gempa njerr gw pikir darah rendah pusing pala uyy","saksi_mata"
"iya kakak dee gempa mayan besar","saksi_mata"
"iya pintu rumah sampai jeder m pusat gempa","saksi_mata"
"enakenak makan tibatiba gempa welcome to taiwan negara frekuensi gempa","saksi_mata"
"sudah sambut gempa","saksi_mata"
"kali ngerasain gempa sampai mabuk","saksi_mata"
"edn gempa kaget","saksi_mata"
"dapat shock culture barusan gempa taiwan orang saja haha oke paham kah gempa taiwan","saksi_mata"
"yoga gempa auto kleyengan pala","saksi_mata"
"kirain mah aku vertigo tahu nya memang gempa","saksi_mata"
"astaghfirullah gempa besar sangat","saksi_mata"
"rasa banget sampai kamar aku lantai ya allah gempa nya","saksi_mata"
"anjirrr gempa nya asa banget","saksi_mata"
"sudah suudzon marahin temen woi goyang mulu napa memang gempa gerak kasur","saksi_mata"
"waw kali ngerasain gempa","saksi_mata"
"bagaimana keep calm detik dapat notif gempa kenceng sangat","saksi_mata"
"kgtt tbtb gempa knceng bgtt","saksi_mata"
"wkwkwk kocak gw lagi jurit malem tbtb gempa kenceng","saksi_mata"
"gempa besar sangat","saksi_mata"
"enih gempa detik kali ya","saksi_mata"
"cok gempa","saksi_mata"
"gempa gempa","saksi_mata"
"gempa euy","saksi_mata"
"astagfirullah gempa","saksi_mata"
"td yang tribun gempa lokal buset mau ikut hype susah","saksi_mata"
"gempa sih anjrit sumpah aku rasa sangat","saksi_mata"
"woy gempa","saksi_mata"
"gempa rasa tadiii","saksi_mata"
"ya allah tanah geter kenceng banget tidak gempa tapi ubin rasa geter kenceng banget","saksi_mata"
"imnfs halo gemeter gempa","saksi_mata"
"gara gempa sampai sekarang jantung masii tidak karu","saksi_mata"
"kirain detak jantung gempa","saksi_mata"
"tidur takut gempa","saksi_mata"
"amaaan sumbar lumayan kenceng memang gempa tapi rasa","saksi_mata"
"asli sudah ngantuk dengerin mix youtube bagus habis gempa melek karena takut","saksi_mata"
"asa doang yang gempa beneran gempa","saksi_mata"
"gempa e keras","saksi_mata"
"gempa","saksi_mata"
"kaget sangat barusan gempa ya","saksi_mata"
"ya allah kaget gempa","saksi_mata"
"gempa gais","saksi_mata"
"asa gempa enak ngopi","saksi_mata"
"gempa yaallah gusti","saksi_mata"
"gempa bukittinggi lumayan bunyi jam","saksi_mata"
"gempa lgsg kamar posisi rebah jantung kaget istighfar ya allah","saksi_mata"
"dmn ini pusat gempa barusan sudah x","saksi_mata"
"gempa","saksi_mata"
"kaget sangat beneran gempa","saksi_mata"
"gempa lagiii","saksi_mata"
"kian gempa minggu rasa","saksi_mata"
"gempa barusan","saksi_mata"
"astaghfirullah gempa barusan keras sangat","saksi_mata"
"woi anjr emakkkk gempa","saksi_mata"
"anjrit gempa cok gempa","saksi_mata"
"aku pikir aku halu saja brasa gempa memang beneran","saksi_mata"
"ya allah minggu sudah berapa kali sih gempa padang moga masyarakat tawa aman tidak ada potensi tsunami amin","saksi_mata"
"gempa besok bos nyebrang waswas","saksi_mata"
"gempa","saksi_mata"
"dah parno duluan lihat baju gantung gerak gerak terus ambil kucing biar tidak takut kamar buka hp info gempa","saksi_mata"
"barusan gempa masuk kuliah sampai sudah kali ya gempa","saksi_mata"
"tawa gempa mulu khawatir","saksi_mata"
"minggu sudah kali gempa yang lumayan rasa sangat yaallah moga release dikit ya","saksi_mata"
"eh iya rasa getar dikitemang gempa ty mah","saksi_mata"
"bisa air mineral botol sudah gradak gruduk aku mikir pala aku puyeng gempa mah","saksi_mata"
"beneran gempa kirain pusing","saksi_mata"
"aku pusing makan tau gempa wkwk","saksi_mata"
