"text","class_label"
" malam gempa saja","saksi_mata"
" gempa gunungkidul","saksi_mata"
" infone gempa barusan min","saksi_mata"
" ku gerak tronton gempa","saksi_mata"
"kaget banget gempa","saksi_mata"
"gempa wehkerasa banget padahal lantai","saksi_mata"
" mau mandi dulu tlong jangan gempa lagi ya takut kalo gempany asa smpen","saksi_mata"
"barusan gempa rangorang enggak rasa bangunin senen","saksi_mata"
"oh barusan gempaaaa wkwkwkwkwkwk mengira sumpah pintu itu bunyi terus memperlihatkan saja sih mikir anjing setan nih gempa","saksi_mata"
"heh kaget mengira halu memang gempa wkwk","saksi_mata"
"merasa gempa enggak sih sepersekian detik doang","saksi_mata"
"jogja gempa anjir","saksi_mata"
" jogja gempa bentar doang sih rasa banget goyang","saksi_mata"
"benaran yang rasa gempa","saksi_mata"
" jam an juga gempa kali selang jam","saksi_mata"
" kucing sek memang questionable sih soale cepat banget pikir capek sampai adekku bilang eh gempa enggak sih yaudah ngelindur","saksi_mata"
" jogja asa gempa detik an deh","saksi_mata"
"kukira cicak kawin geternya sampai kasur gempa","saksi_mata"
" bangun rasa gempa barusan","saksi_mata"
" ya gempa asem enggak ada percaya","saksi_mata"
"kaget banget kasur goyang kian detik terus mikir gempa po ya tanyakan rumah enggak yang rasa bilang halu warna twitter haluuu hahhaaha","saksi_mata"
"eh jogja gempa","saksi_mata"
"info gempa barusan sleman","saksi_mata"
"ya allah takut tidur takut gempa susul lantai ajg","saksi_mata"
" ku rasa gempa ini","saksi_mata"
" iya barusan gempa asa sleman","saksi_mata"
"gempa nya pas banget gue merem kaget ggsgdhhs","saksi_mata"
" anjir pantesan kayak goyang badan gue jogja gempa","saksi_mata"
"gue gue otw mati gara gara banyak minum kopi memang gempa","saksi_mata"
"kaca jendela getar tanda barusan gempa","saksi_mata"
"oalah gempa wksksowkksks ndredeg terus gemeter","saksi_mata"
"jogja barusan gempa kah beberapa menit barusan sumpa","saksi_mata"
"auto kagak tidur rasa gempa","saksi_mata"
" tahun jogja kali loncat kasur gempa kaget banget ㅠㅠ","saksi_mata"
"benaran gempa tapi mengira vertigo kumat wkwk","saksi_mata"
" kali yang gue laku gempa tuh lari kandang anjing gue cari lindung","saksi_mata"
"gue gemparin kosan lantai karena gempa","saksi_mata"
" demiallah ndregdeg begitu detik gue ais tidur nendang kasur gue diam saja cok search saja jogja gempa yang merasa","saksi_mata"
"gempa ya barusan","saksi_mata"
"pantat goyang ya oh gempa","saksi_mata"
" mengira gue halu memang gempa","saksi_mata"
"ku pikir efek laper benaran gempa jogja enggak panik hebat sekalehh","saksi_mata"
"lagi baca webtoon sender tetiba gempa gue karena darah rendah","saksi_mata"
" gempa","saksi_mata"
" lah benaran gempa","saksi_mata"
"gempa langsung ngibrit gendong cito","saksi_mata"
"gempa gaes","saksi_mata"
"","saksi_mata"
" merem kaget gempa","saksi_mata"
"gempa dikit coy rasa sampai jogja huhuhu","saksi_mata"
" kamar merasai gempa tuh takut sampai badan kaku asli","saksi_mata"
"gempa enggak sih barusan halu kasur ku lumayan goyang sih bentar","saksi_mata"
"gempa lumayan kencang batal tidur antisipasi gempa susul","saksi_mata"
"weee gempa cuy kaget","saksi_mata"
"aku aku yang oleng trnyta memang gempa","saksi_mata"
" pikir sono kucing po tikus mlayu ng duwur gendeng tapi boleh geter tekan kasur jebul tenan gempa titik gempane ng ndi ya","saksi_mata"
"gempa kayak suara kucing lompat genteng adek gempa sudah merasa yang gerak diam kamar yang lumayan kencang suara panik langsung bareng adek pas sudah rumah yang enggak ada bangun rasa gempa","saksi_mata"
"benaran gempa jadi sebelum gempa sudah rasa kayak sudah mikir kayak bentar lagi gempa deh kayak beda begitu hawa tau enggak siii terus benaran goyang☺️☺️☺️ untung enggak kencang enggak","saksi_mata"
" saja mau tidur eeh gempa","saksi_mata"
"gempa nya sampai kebumen","saksi_mata"
"anying nih gempa pusat deh degan banget","saksi_mata"
"first time gue rasa gempa cuy","saksi_mata"
"anjritt ini gempa teman aing tetap tidur pulas","saksi_mata"
" njelei nek gempa sek kroso muk tokdipaido sak omah","saksi_mata"
"sudah curiga memang gempa nih kasur gue goyang² gue diam saja","saksi_mata"
" gempa merasai","saksi_mata"
"baca buku musican kencang tbtb gempa dengar suara nya","saksi_mata"
" sepersekian detik gempa nya cepat","saksi_mata"
" jogja tidur kayak asa goyang sih tapi enggak tau tadi benaran gempa halusinasi menunggu twt bmkg kalo yang halu","saksi_mata"
"tbtb merasai kasur geter gempa ringan atau kasur gue joget ya","saksi_mata"
"jogja gempa gue enggak merasai","saksi_mata"
"gempa ya jogja kasur nya gerakgerak","saksi_mata"
"anjay jogja goyang gempa","saksi_mata"
" gempa gaes jogja","saksi_mata"
" gempa barusan kali","saksi_mata"
" asa goyang gempa bentar lumayan lantai","saksi_mata"
"anjing benaran gempa","saksi_mata"
"mengira efek pusing layang badan aneh tyt memang gempa","saksi_mata"
"barusan jogja gempa rinding benaran geter","saksi_mata"
" barusan gempa min demang rasa","saksi_mata"
"cuy gempa nya rasa","saksi_mata"
" literally ajar ngantuk benar tbtb kaget gempa ok enggak ngantuk","saksi_mata"
"h halu benaran gempa","saksi_mata"
