slang,formal
aamiin,amin
abis,habis
absurd,tidak masuk akal
abuse of power,penyalahgunaan kekuasaan
adlh,adalah
aduuuuh,aduh
aja,saja
ajah,saja
ajuin,aju
ajuran,anjur
ak,aku
aktifitas,aktivitas
alhamdulilah,alhamdulillah
alon2,pelan2
ama,sama
amanat,amanah
amat,sangat
ambrul adul, amburadul
amiin,amin
ampe,sampai
angk,angka
anjir,astaga
anjuran,anjur
anjuranaturan,anjuran aturan
apabisa,apa bisa
apbn, anggaran pendapatan dan belanja negara 
aplakisi,aplikasi
apps,aplikasi
apresisai,apresiasi
are,adalah
areal,area
asik,asyik
assalamualikum,assalamualaikum
astaga,astagfirullah
at least,paling sedikit
ato,atau
aturanprotokol,aturan protokol
ayok,ayo
bacot,banyak bicara
bang,abang
banget,sangat
bangett,banget
bangkitin,bangkit
bansos,bantuan sosial
bantuin,bantu
bantun,bantuan
barbar,kasar
bareng,bersama
bayarin,bayar
bberapa,beberapa
bbrp,beberapa
becus,mampu
bekerjasama,kerja sama
belom,belum
belumtidak,belum tidak
bener,benar
beradad,beradab
beraktifitas,beraktivitas
berfikir,berpikir
bergentayangan,gentayang
berhentiin,berhenti
berjamaah,jemaah
berpenghasilan,hasil
bersamaa,bersama
bersebelahan,sebelah
bersi,bersih
bersiin,bersih
bertanggungjawab,bertanggung jawab
bertemu,temu
bgmn,bagaimana
bgt,banget
bhn,bahan
biarin,biar
biasaIni,biasa ini
bird,burung
bkn,bukan
bknnya,bukannya
blg,bilang
blm,belum
bln,bulan
blom,belum
blt,bantuan langsung tunai
blum,belum
bngt,banget
bni,bank negara indonesia
bnyak,banyak
booming,viral
boongin,bohongi
bro,teman
brp,berapa
bs,bisa
bsa,bisa
bu,ibu
bukankan,bukankah
bukn,bukan
bulet,bulat
byk,banyak
call,menelepon
cancel,batal
cape,lelah
capek,lelah
carona,corona
cekek,cekik
cepet,cepat
cepetan,cepat
china,cina
chinakan,cina
civid,covid
class action,perwakilan kelompok
cm,Cuma
cma,cuma
coronacovid,corona covid
coronavirus,corona virus
covidnya,covid
coy,teman
cuman,Cuma
curva,kurva
d suruh,di suruh
d tiap,di tiap
d,di
dak,tidak
dampaik,dampak
dampat,dampak
dapet,dapat
day,hari
dberi,diberi
degan,dengan
demgan,dengan
denga,dengan
dengab,dengan
denger,dengar
dengn,dengan
desek,desak
desekan,desakan
dg,dengan
dgn,dengan
dian,dianggap
dibantahin,bantah
dibiarin,biar
dibolehin,boleh
diciptakantidak,diciptakan tidak
diclaim,diklaim
didlm,di dalam
dihutangin,hutang
dijaman,di zaman
dijanjiinnya,janji
dikasi,dikasih
dikebumikan,bumi
diketemukan,ditemukan
dikumpulin,kumpul
dilakuin,laku
diliat,dilihat
diliterasikan,literasi
dilonggarin,longgar
dimengerti,ngerti
dipake,dipakai
dipasarmall,dipasar mall
dipenanganan,tangan
dipertimbingkan,timbang
dipikirin,pikir
dipungkiri,pungkir
dir,diri
dirambah,ditambah
dirawatt,dirawat
dirmh,di rumah
disalahin,salah
disebuah,sebuah
disediain,sedia
disekitar,sekitar
disematkan,semat
distance,pembatasan
distancing,batas
distribus,distribusi
ditangani,tangan
